#,REF ID,DOI,First author,Year,Full author list,Country_clean,Location_clean,Source,Continent_clean,Type of gear used & any other characteristics of who fishes in area,Types of gear used_clean,Number of closures studied in case (paper if paper is one case),Actors involved with closure (types of actors + organization names),Goverance type_overall_clean,*Actors_type_governance_clean,Traditional history_clean,"Start date (how long the temporary closures have been in place, approximate OK)",start_date_clean,TURF_clean,Ecosystem,Ecosystem_clean,Short type of closure (name),Short_type_of_closure_clean,Types of stakeholders involved in design & number of stakeholders (if available; approx. ok),Governance_type_design_clean,Actors_type_design_clean,Motivation(s) for creating closure (WHY? Broad - Include objective if available),Motivations_clean,Criteria for opening closures or renewing (specific criteria - note whether for opening or re-closing),Criteria_open_clean,"Decision-making process to design, open, or change (how did they decide?)",decision_making_clean,Size of closure,"Size of closure, standardized to Ha (1 km2 = 100 ha)",Size_of_closure_clean,Length of time closed (range),Length of time closed (range) - standardized to years,length_close_clean,Length of time open (range),Length of time open (range) - standardized to years,length_open_clean,% of fishing ground closed,percentage_fishing_ground_closed_clean,Number of species the closure apply to,Number of species the study focus on,number_of_species_clean,species_category_clean,Who is responsible for enforcement? How do they do it?,Enforcement_clean,Who is responsible for collecting information (e.g. monitoring the fishery) for management & how do they do it?,Information_collected_clean
ID,/,/,/,/,/,/,,,"Asia, North America, South America, Europe, Oceania, Africa",/,"nets, spears, hook and line/line fishing, gleaning, diving, traps, others",/,/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Government, Fishing industry, Others, Unknown","Yes, No, Unknown",/,Remove bins,"Yes, No, Unknown",/,"Coral reefs, Mangrove estuary, Rocky reefs, Open ocean, Other",/,"Rotational Closure, Periodic Closure, Dynamic/Triggered closure, Determinate (Expiring) Closure",/,"Bottom-up, Top-down, Co-management, Unknown","Community leaders, locals, NGO, Fishing industry, Government, Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Ecosystem/conservation, Fisheries/fishing income, Social, Governance (e.g. avoid permanent closure), Others, Unknown",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,*numeric variable,"Small area(<1 hectare), Moderate area (1-10 hectares), Large area(10-100 hectares), Extensive Area (100+hectares up to 1000km2), Unknown",/,*numeric variable,"Weekly Closures (less than 1 month), Quarterly Closures (couple of monthes), Annual closures(1 year), Medium-term Closures(1-5 years), Long-Term Closures(5-10 years or more), Unknown",/,*numeric variable,"Daily Opening (open less than 1 week), Weekly Opening (open for couple of weeks, less than 1 month), Quarterly Opening (couple of monthes), Annual Opening(1 year), Medium-term Opening (1-5 years), Long-term Opening (Open for most of the time), Unknown",/,"Minimal Closure (<5%), Low Closure (5-20%), Moderate Closure (20-50%), High Closure (50-80%), Extreme Closure (>80%), Unknown",,/,* numeric variable or unknown,"Invertebrates, reef fish, demersal fish, pelagic fish, marine mammals/sea turtles/seabirds",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others",/,"Community/village led, NGO led, Government led, Collaboration community-NGO-government, Collaboration community-NGO, Collaboration community-government, Others"
40,069-BIS-15,10.3389/fmars.2021.540966.,Bisack K,2015,"Kathryn D. Bisack, Gisele M. Magnusson",United States,New England,069-BIS-15,North America,Lobster fishery uses pots and any lobster traps other than nets that can catch lobsters; buoy lines--Specific gear requirements vary by area. Gillnets after DAM ended due to the Plan,Traps,1,"NOAA, Dynamic Area Management, fishers, National Marine Fisheries Service, Atlantic State Marine Fisheries Commission",Top-down,Government,No,"Regulations were temporarily implemented in 1997 to seasonally manage lobster gear, and later made permanent. Lobster gear was prohibited in Great South Channel (April 1–June 30) while modified lobster gear could be used in Cape Cod Bay (January 1–May 15) (50 CFR 229.30).  the DAM program was implemented from 2002-2009",2002,No,Northeast Coast ,Open ocean,Temporary Closure/ Dynamic Area Management (DAM)/ Spatial ,Dynamic/Triggered Closure,"Many organizations in the United States such as Dynamic Area Management (DAM) program, NOAA-fisheries, Atlantic States Marine Fisheries Commission, Atlantic Coastal Cooperative Statistic Program",Top-down,Government,Bycatch management zone to reduce bycatch for Right Whales.,Ecosystem/Conservation,"No clear mention, however, policy instruments may be designed to achieve multiple goals or objectives, and the use of other evaluation criteria including, among others, economic, social-normative and longevity may be appropriate for evaluation of individual measures, such as the DAM program.",Ecosystem/Conservation,Authority remained with the NOAA-Fisheries administrator to determine on a case-by-case basis if an area would be subject to a mandatory or voluntary closure.,Government led,"Variable, based on Tasha's map estimate, around 3,000 km2 though variation by 0.5-4x (1500 km2 - 8000km2)","300,000",Extensive area,"The DAM program was a complement to the SAM program which operated year round in U.S. waters north of 40°N with restrictions for each individual zone to be in place for 2 weeks, unless extended or removed.",0.038,Weekely closures,open for rest of the time,0.962,Long-term opening,17% of area covered by all northeast right whale management areas encompassed up to 70% of the region’s population. ,Low closure,1,North Atlantic Right whale,1,Marine mammals/sea turtles/seabirds,"The NOAA-Fisheries administrator has a lot of jurisdiction with the DAM zones; The lobster fishery is managed by the NOAA (National Oceanic and Atmospheric Administration Fisheries)  under the framework of the Atlantic States Marine Fisheries Commission; ""States have jurisdiction for implementing measures in state waters within 3 nautical miles of shore, while NOAA-Fisheries implements complementary regulations in offshore federal waters 3–200 nautical miles from shore."" NOAA, We develop a flexible framework that considers biological and economic factors simultaneously that can be used to assess alternative policy instruments including closures and gear modifications, and use this framework for the evaluation of the DAM program.",Government led,"In the northeast United States, NOAA-Fisheries collects VTR; these records identify northeast “lobster trap/pot” fishing trips.",Government led
41,089-GUL-15,10.1016/j.marpol.2014.09.025,Gullestad P,2015,"P.Gullestad, G.Blom, G.Bakke, B.Bogstad",Norway,Barent Sea,089-GUL-15,Europe,Trawl fishery,Trawlers; Seiners,1,"Government: Surveillance Service, a branch of the Norwegian Directorete of Fisheries regional office in Tromso",Top-down,Government,No,"The RTC established since 1984, no mention of the exact date",1984,No,"Open ocean, near the coast",Open ocean,RTC: Real-time closure (triggered closure),Dynamic/Triggered Closure,"Mainly central government (Surveillance Service), with support from Coast Guard, scientists and local fishing fleet",Top-down,Government,The RTC is created to protect the strong 1983 year-class juvenile Northeast Arctic cod from indirect mortality (discard and bycatch) - they're concerned whether the fish could contribute to the spawning stock,Fisheries management/Fishing income,"The closure is triggered by several criterias: In the Northern shrimp fishery, the criteria are a maximum permitted number of specimens for each species of cod, haddock, redfish and Greenland halibut per 10kg of shrimp (8 for cod, 20 for haddock, 3 each for redfish and Greenland halibut)/In the trawl fishery targets cod and haddock, a 15% maximum per haul mixture of juveniles of the said species (count by inspectors and fishermen) are allowed. Criteria for open: Intermixture of the juveniles in the catch no longer exceeds the permitted levels above",Fisheries management/Fishing income,"The Surveillance Service will investigates the discard/bycatch situations and determine whether several criterias are exceeded for the area to be closed (the closure area is based on actual geogrphic occurance and not pre-determined grid, so the closure maybe quite extensive and non-regular in shape). The formal decision is made by the head of DOF (Directorete of Fisheries) in the Bergen in the form of legally binding regulations, based on the advice of Surveillance Service",Government led,Yutian estimates the largest closure~200000km2,"2,000,000",Extensive area,"Varies, monthes rather than weeks (Little et al., 2015)",0.08,Quarterly closures,open for rest of the time,0.92,Long-term opening,/,Unknown,4,"cod, haddock, redfish, greenland halibut",4,Pelagic fish,The Directorate of Fisheries and the Coast Guard are in charge of the enforcement - all closures are mandatory. ,Goverment led,"""The Surveillance Service (regional office of government agency) is responsible for collecting ecological information, they will send trained inspectors onboard to collect those info - Based on the info collected, they will determine whether the area will be closed/whether the area could be reopened. However, the authors do mention that """"the decisions on relevant areas to investigate are based on accumulated experience of Surveillance Service, and on updated information from sceintists, Coast Guard and fishing fleet""""""",Collaboration fishing industry-government
42,091-LIT-15-B,10.1111/faf.12080,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal",United Kingdom,Scottish North Sea,091-LIT-15-B,Europe,"Multiple, bottom trawl and seniers",Trawlers; Seiners,1,Scottish government,Top-down,Government,No,"Since 2009, the RTC became mandatory for the Scottish fishing fleet, no mention of specific start date",2009,No,"Open ocean, near the coast",Open ocean,RTC: Real-time closure (triggered closure),Dynamic/Triggered Closure,Scottish government,Top-down,Government,"The objective of Scottish RTCs is to reduce the fishing mortality of cod in the northern North Sea, by diverting fishing effort away from aggregations of cods",Fisheries management/Fishing income,"The closure is triggered in one of two ways: following the observation of more than 40 cod, of any size, per hour of fishing effort; or the highest landing per unit effort, as analysed from vessel monitoring system(VMS) and logbook data",Fisheries management/Fishing income,"Closure decision is made by the Scottish government, the closures are communicated to the fleet through the Scottish Government's website and email",Government led,"The RTC may cover an area no larger than 225 nautical miles squared and have six or fewer vertices. There can be no more than 11 RTCs in operation at any one time and no more than three closures within a commercial impact zone, that is, 25 mile radius (Since 2009, there have been 700 RTCs in operation, with an average of 167 closures per year)","77,172",Extensive area,21 days,0.058,Weekly closures,open for rest of the time,0.942,Long-term opening,/,Unknown,1,cod,1,Pelagic fish,"Under the SCCS, RTCs are funded by the Scottish government, and the closures are monitored and enforced by Marine Scotland Compliance, part of the Scottish Government",Government led,"""VMS (vessel monitoring system), logbook data and fishing skippers are also encouraged to report aggregation of cod/Bailey et al., 2010: catch rates be reported by skippers, Marine Scotland (Science) observers or a team of observers employed by the Scottish Fishermen's Federation""",Collaboration fishing industry-government
43,091-LIT-15-C,10.1111/faf.12081,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal","Norway, and countries in EU (Danish, Swedish, German, Dutch, Belgium)",North sea and Skagerrak,091-LIT-15-C,Europe,"Multiple, bottom trawl and seniers",Trawlers; Seiners,1,Norway government + Member States in EU,Top-down,Government,No,"Since September 2009, no exact date",2009,No,"Open ocean, near the coast",Open ocean,RTC: Real-time closure (triggered closure),Dynamic/Triggered Closure,"Multiple, either Norway or Member States from EU",Top-down,Government,"The objective of the RTCs is to reduce the discard of juvenile cod, haddock, whiting and saithe in the North Sea and Skagerrak",Fisheries management/Fishing income,"The closure is triggered when 15% of the catch, by weight is composed of juveniles (Juvenile cod, haddock, saithe and whiting are defined according to minimum landing size; <35, <30, <35 and <27cm)",Fisheries management/Fishing income,A closure is based on one positive sample and is implemented 12h following the decision by either Norway or an EU Member State to instigate a closure,Government led,"RTCs are implemented either inshore or offshore (An offshore RTC can be no more than 64 nautical square miles, and inshore RTCs can be no more than 23 nautical square miles)","21,951",Extensive area,"Offshore closure is effective for 21 days, and inshore closure is effective for 14 days",0.058,Weekly closures,open for rest of the time,0.942,Long-term opening,/,Unknown,4,"cod, haddock, saithe, whiting",4,Pelagic fish,"A joint EU-Norweigan deployment plan uniformly coordinates the monitoring and inspection of the RTCs using VMS data, air surveillance, and fishery patrol vessels",Government led,"""At sea, fishery observers carry out inspections in areas where the proportion of juveniles is expected to exceed catch trigger thresholds""",Government led
44,091-LIT-15-D,10.1111/faf.12081,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal",Iceland,"Unknown, Iceland EEZ",091-LIT-15-D,Europe,Seiners and bottom trawlers,Trawlers; Seiners,1,Marine Research Institute (Government agency),Top-down,Government,No,Since 1976,1976,No,"Open ocean, near the coast",Open ocean,RTC: Real-time closure (triggered closure),Dynamic/Triggered Closure,Marine Resarch Institute,Top-down,Government,"The objective of Icelandic RTC is to reduce juvenile cod, haddock, saithe and redfish discards",Fisheries management/Fishing income,"The closure is triggered in areas where the number of juvenile fish caught exceeds certain thresholds: 25% or more of <55 cm cod and saithe, 25% or more of <45cm haddock, and 20% or more of <33cm redfish",Fisheries management/Fishing income,"""The Marine Research Institute is the government agency responsible for authorizing Icelandic RTCs, supervised by the Directorate of Fisheries and the Coast Guard""",Government led,Yutian estimates ~58.84km2,"5,884",Extensive area,"Fishing is prohibited in the RTCs for at 14 days, plus a further 7 days if deemed necessary. If an area is closed consecutively, a permanent closure maybe implemented)",0.058,Weekly closures,open for rest of the time,0.942,Long-term opening,5.54%,Low closure,4,"cod, haddock, saithe, redfish",4,Pelagic fish,"""The Directorate of Fisheries is responsible for the management of Icelandic fisheries""",Government led,"""Real-time closures are informed using at-sea fisheries observers (covers 15-20% of the Icelandic cod fishery), reports by fishing skippers, dock-side inspections and the Coast Guard""",Collaboration fishing industry-government
45,091-LIT-15-E,10.1111/faf.12082,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal",United States,Alaska,091-LIT-15-E,North America,Mid-water trawl fishery,Trawlers,1,"Pollock Conservation Cooperative (PCC), High Seas Catcher's Cooperative (HSCC), Sea State Inc., (the two cooperatives signed an intercooperative agreement (ICA) to introduce the voluntary rolling hotspot closures)",Co-management,Fishing industry; NGO,No,Since 2001,2001,No,"Open ocean, near the coast",Open ocean,Rolling hotspot closures,Dynamic/Triggered Closure,Fishing cooperatives and a private contractor (Sea State Inc.),Co-management,Fishing industry; NGO,Minimize the risk of catching chum salmon in the eastern Bering Sea pollock fishery,Ecosystem/Conservation,The closure is triggered by high salmon bycatch,Ecosystem/Conservation,"Sea State Inc. that contracted by PCC (Pollock Conservation Cooperative) is responsible to receive, monitor and evaluate catch and bycatch data in the chum salmon RHS programme. Sea State Inc.analyses catch data to identify straight-edged polygon hotspot bi-weekly, according to areas of high discarding. ",Collaboration community-NGO,"Unknown, cannot be estimated","5,000",Unknown,Varies based on bycatch performance from 0-7 days,0.02,Daily closures,open for rest of the time,0.98,Long-term opening,/,Unknown,2,Chum salmon; Chinook salmon,2,Pelagic fish,Sea State Inc. monitors the compliance of RHS by comparing VMS records against observer data ,Collaboration community-NGO,Bycatch information are provided by the fleet or onboard observer (100% observer program),Collaboration fishing industry-government
46,091-LIT-15-F,10.1111/faf.12083,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal",United States,"West Coast (Washington, California, Oregon)",091-LIT-15-F,North America,Mid-water trawl fishery,Trawlers,1,"Whiting Mothership Cooperative (WMC), Sea State Inc.,",Co-management,Fishing industry; NGO,No,"Since March, 2011",2011,No,"Open ocean, near the coast",Open ocean,"Pre-cautionary area, cautionary area, daily fleet relocation based on bycatch hotspots",Dynamic/Triggered Closure,"Fishing skippers, vessel owners, private contractor (Sea State Inc)",Co-management,Fishing industry; NGO,Minimize the bycatch of non-whiting species to ensure the whiting fishery remains open,Governance,"The closure is triggered by high bycatch rates of the species in concerns (i.e., rockfish and salmons)",Ecosystem/Conservation,"Precautionary closure/cautionary closure is decided by a bycatch committee made-up of fishing skippers and vessel owners/Sea State Inc is responsible for receiving and analyzing daily whiting and overfished species data from fishing skippers, disseminating bycatch hotspot maps, other bycatch avoidence information and year-to-date whiting and overfished species harvest rates for the whole fishing sector, each fleet and individual vessels",Collaboration community-NGO,"Unknown for the real-time bycatch hotspots, the precautinoray area, which will be updated seasonally is around 2000 km^2","200,000",Extensive area,"Varies, not specified",0.02,Unknown,open for rest of the time,0.98,Long-term opening,/,Unknown,2,Rockfish; Chinook salmon,2,Pelagic fish,Sea State Inc. is contracted by the WMC to monitor the risk pool agreement and make direct use of the data collected at-sea observers. Sea State Inc. and WMC members may report suspected violations to the WMC's Board of Directors. The WMC Board and the risk pool manager are authorized to administer financial penalties or stop fishing orders if a member fails to comply with the risk pool agreement,Collaboration community-NGO,"Bycatch information is provided by on-board observer data (100% observer coverage), also supplemented by VMS data, logbooks and WMC catch data",Collaboration fishing industry-government
47,091-LIT-15-J,10.1111/faf.12084,Little AS,2015,"Alyson S Little, Coby L Needle, Ray Hilborn, Daniel S Holland & C Tara Marshal",United States,New England/Mid-Atlantic,091-LIT-15-J,North America,Squid trawl,Trawlers,1,"Cornell University Cooperative Extension marine programme, Squid trawl network, which collaborates with the fishing industry, scientists, fishery managers and stakeholders",Co-management,Fishing industry; Others(Academia),No,Since 2011,2011,No,"Open ocean, near the coast",Open ocean,Bycatch hotspots,Dynamic/Triggered Closure,Cornell University Cooperative Extension,Co-management,Fishing industry; Others,"Minimize the bycatch of butterfish, river herring and American shad in the long-finned squid fishery",Ecosystem/Conservation,The bycatch hotspots are triggered by high bycatch concerns and are not formally closures (voluntary),Ecosystem/Conservation,"The Cornell University Cooperative Extension compiles daily bycatch information and alerts the fleet, via email, of high and urgent bycatch concentrations ",Others (Academia institution led),"Grid is 10 min latitude * 10 min longitude squares, estimates to be 400km2","40,000",Extensive area,"24-48 hours, 1-2 days",0.005,Daily closures,open for rest of the time,0.995,Long-term opening,/,Unknown,3,River herring; Butterfly fish; American shad,3,Pelagic fish,"No enforcement, this is a voluntary program",No enforcement,"Fishers email daily butterfish, American shad, and river herring bycatch to Cornell University Cooperative Extension (the observer covergae is around 10-15% for this fishery)",Fishing industry led
48,090-BET-13,10.1016/j.fishres.2012.09.003,Bethoney ND,2013,"N. David Bethoney, Bradley P. Schondelmeier, Kevin D.E. Stokesbury, William S. Hoffman",United States,Northwestern Atlantic,090-BET-13,North America,Mid-water trawl fishery,Trawlers,1,"The University of Massachusetts Dartmouth School for Marine Science and Technology (SMAST) and MA DMF (Division of Marine Fisheries), with support of the Sustainable Fisheries Coalition (SFC) and two other mid-water trawl vessels ",Co-management,Fishing industry; Government; Others(Academia),No,Since 2011,2011,No,"Open ocean, near the coast",Open ocean,Bycatch hotspot closures (grid),Dynamic/Triggered Closure,"SMAST, MADMF and fishing industry",Co-management,Fishing industry; Others; Government,"Government fishery managers previously considered implemeting closed areas to reduce alosine bycatch, but the impact of closures was uncertain and could have come at a cost to the herring and mackerel fisheries. Hence, the fishing industry had incentives to voluntarily reduce bycatch to avoid unnecessary regulations",Governance,"The bycatch hotspots are categorized by the calculated bycatch risk (low, medium, high) and are not formally closures",Ecosystem/Conservation,"SMAST would classify low, medium and high bycatch hotspots according to the weight ratio of bycatch to target species. The hotspots are not formally closures and fishers must use their discretion when deciding to fish the hotspots based on quota availability and the likelihood that they are to encounter bycatch species ",Others (Academia institution led),"60 nm*70nm (nautical miles), the area was transformed into a coded grid with discrete spatial units using the 10' longitude and 5'latitude times (1 grid is 5*8 nautical miles)","13,720",Extensive area,1 week,0.02,Weekly closures,open for rest of the time,0.98,Long-term opening,/,Unknown,2,River herring; American shad,2,Pelagic fish,"No enforcement, this is a voluntary program",No enforcement,"Vessels would notify the MA DMF and SMAST through their shipboard e-mail system of their departure and landing times, hail weights, landing ports nad other information",Fishing industry led
49,092-OKE-13,10.1080/03632415.2013.838122,O'Keefe CE,2013,"Catherine E. O'Keefe, Gregory R.DeCelles",United States,"Georges Bank, Nantucket Lightship access area",092-OKE-13,North America,Scallop dredges,Scallop dredges,1,"SMAST Scallop Steering Committee, a partnership between members of the scallop fishing fleet and scientists from SMAST",Co-management,Fishing industry; Others(Academia),No,In 2010,2010,No,near the coast,Open ocean,Bycatch hotspot closures (grid),Dynamic/Triggered Closure,SMAST Scallop Steering Committee,Co-management,Fishing industry; Others(Academia),"Help the fleet in maximizing scallop yield by avoiding bycatch of yellowtail. Rather than focusing soley on the ecological goal of reducing bycatch, we focused on the socioeconomic goal identified by the scallop industry, which was harvesting the entire scallop allocation by preventing an in-season bycatch closure",Governance,"The bycatch hotspots are categorized by the calculated bycatch risk (low, medium, high) and are not formally closures",Ecosystem/Conservation,"The emails sent by the fishing fleets were compiled each day and all reports from the previous 24 h were analyzed by researchers from the SMAST. The cells were generally classified as low, medium and high based on the amount of bycatch reported relative to bycatch thresholds",Others (Academia institution led),"The total size of Nantucket Lightship access area is approximately 1525 km2, A grid was overlaid on the area to create uniquely identifiable cells.The grid contained 34 individual lettered cell, each representing approximately 50km2","5,000",Extensive area,"Varies, days/weeks",0.003,Weekly closures,open for rest of the time,0.997,Long-term opening,/,Unknown,1,Yellowtail flounder,1,Demersal fish,"No enforcement, this is a voluntary program",No enforcement,"During fishing trips, vessel captains recorded the letter of the cell they were fishing in, the number of tows completed in each cell, and total pounds of Yellowtail caught in each cell. The recorded information was entered into a text-based e-mail and sent to SMAST once every 24 h",Fishing industry led
50,"087-HOW-18, 096-HOW-15",/,/,/,/,United States,Hawaii,"087-HOW-18, 096-HOW-15",North America,Shallow-set Hawaii-based longline fishery,Longline,1,"Government, NOAA Fisheries",Government led,Government,No,In December 2006,2006,No,Open ocean,Open ocean,Predicted bycatch hotspots ,Dynamic/Triggered closure,"Government, NOAA Fisheries",Top-down,Government,"In response to the early fishery closure in 2006, the goal of this project was to create a timely, science-based tool for recommendation which would be easily usable and understandable by fishers and management entities",Governance,"Not a formal closure, but the area suggested to be avoided is based on the distribution of loggerhead/leatherback",Ecosystem/Conservation,The turtlewatch product is analyzed and published by governmental agency,Government led,"Unknown, cannot be estimated","2,000,000",Unknown,Not a formal closure,0.003,Unknown,open for the rest of the time,0.997,Long-term opening,/,Unknown,2,"Loggerhead turtles, leatherback turtles",2,Marine mammals/sea turtles/seabirds,"No enforcement, this is a voluntary program",No enforcement,Government is responsible for collecting the data used in the turtlewatch product,Government led
